receiver_time,seq,sender_time,is_tracked,calibration_dot_index,gaze_dir_x,gaze_dir_y,gaze_dir_z
1783924469.655613,474,24.0835,1,0,-0.236062,0.195523,0.951864
1783924469.7083058,475,24.1251,1,0,-0.235351,0.195016,0.952144
1783924469.737901,476,24.1658,1,0,-0.234996,0.195244,0.952185
1783924469.7935271,477,24.2101,1,0,-0.235838,0.19493,0.952041
1783924469.821475,478,24.25,1,0,-0.237124,0.195711,0.951562
1783924469.870731,479,24.2916,1,0,-0.23817,0.195706,0.951302
1783924469.905641,480,24.3324,1,0,-0.238848,0.196328,0.951003
1783924469.9543,481,24.3742,1,0,-0.239348,0.197502,0.950634
1783924469.989158,482,24.4164,1,0,-0.240152,0.199044,0.95011
1783924470.036536,483,24.458,1,0,-0.240746,0.199672,0.949828
1783924470.071381,484,24.4995,1,0,-0.241679,0.20033,0.949452
1783924470.1240299,485,24.5418,1,0,-0.242432,0.20124,0.949068
1783924470.1532822,486,24.5825,1,0,-0.242896,0.201385,0.948918
1783924470.206768,487,24.6251,1,0,-0.242879,0.200985,0.949007
1783924470.237477,488,24.666,1,0,-0.242896,0.200952,0.94901
1783924470.2955499,489,24.7088,1,0,-0.242613,0.200765,0.949122
1783924470.322489,490,24.7504,1,0,-0.241877,0.20015,0.94944
1783924470.369602,491,24.794,1,0,-0.241035,0.198693,0.94996
1783924470.40765,492,24.8335,1,0,-0.240879,0.197568,0.950234
1783924470.457011,493,24.8757,1,0,-0.240605,0.196147,0.950598
1783924470.48801,494,24.9159,1,0,-0.239732,0.194548,0.951147
1783924470.5375118,495,24.9589,1,0,-0.23915,0.192927,0.951623
1783924470.570509,496,25.0004,1,0,-0.238754,0.192041,0.951902
1783924470.622721,497,25.0412,1,0,-0.237914,0.190335,0.952454
1783924470.6536121,498,25.0825,1,0,-0.236927,0.189505,0.952866
1783924472.1035562,535,26.5268,1,1,-0.00545,0.21135,0.977395
1783924472.152396,536,26.5716,1,1,-0.005651,0.211411,0.977381
1783924472.181182,537,26.609,1,1,-0.005877,0.21064,0.977546
1783924472.236031,538,26.6508,1,1,-0.006434,0.208654,0.977969
1783924472.264588,539,26.692,1,1,-0.006937,0.20735,0.978242
1783924472.31247,540,26.7356,1,1,-0.006834,0.205867,0.978556
1783924472.349653,541,26.7753,1,1,-0.007245,0.203691,0.979008
1783924472.4003599,542,26.8183,1,1,-0.007546,0.203181,0.979112
1783924472.430777,543,26.8596,1,1,-0.007688,0.202153,0.979324
1783924472.478115,544,26.9019,1,1,-0.007695,0.200539,0.979656
1783924472.527385,545,26.9433,1,1,-0.008665,0.200237,0.979709
1783924472.557302,546,26.9876,1,1,-0.009429,0.199874,0.979776
1783924472.609109,547,27.0258,1,1,-0.009513,0.199825,0.979785
1783924472.639775,548,27.0684,1,1,-0.008744,0.19923,0.979914
1783924472.697424,549,27.1092,1,1,-0.007699,0.198472,0.980076
1783924472.7217002,550,27.1521,1,1,-0.006966,0.197967,0.980184
1783924472.775506,551,27.192,1,1,-0.006087,0.196721,0.980441
1783924472.806284,552,27.2358,1,1,-0.004731,0.19646,0.980501
1783924472.867115,553,27.2758,1,1,-0.003771,0.195884,0.98062
1783924472.890361,554,27.3197,1,1,-0.005825,0.195286,0.980729
1783924472.940938,555,27.36,1,1,-0.008105,0.195383,0.980694
1783924472.972865,556,27.4024,1,1,-0.008276,0.195226,0.980723
1783924473.0305269,557,27.4422,1,1,-0.006623,0.195384,0.980705
1783924473.055498,558,27.4853,1,1,-0.005004,0.195266,0.980738
1783924473.098426,559,27.5261,1,1,-0.003165,0.194786,0.980841
1783924474.484778,594,28.9048,1,2,0.230318,0.188289,0.954726
1783924474.5141408,595,28.9436,1,2,0.230508,0.188722,0.954594
1783924474.56848,596,28.9868,1,2,0.22972,0.188636,0.954801
1783924474.598658,597,29.0275,1,2,0.229087,0.187066,0.955262
1783924474.6525319,598,29.07,1,2,0.228222,0.186976,0.955487
1783924474.683289,599,29.1101,1,2,0.227397,0.187343,0.955611
1783924474.73315,600,29.1533,1,2,0.227905,0.188634,0.955236
1783924474.767485,601,29.1949,1,2,0.22825,0.189644,0.954954
1783924474.819045,602,29.2344,1,2,0.228732,0.189871,0.954793
1783924474.848276,603,29.2762,1,2,0.228188,0.190646,0.954769
1783924474.895925,604,29.3174,1,2,0.227589,0.190303,0.954981
1783924474.931909,605,29.3594,1,2,0.227316,0.190672,0.954972
1783924474.977698,606,29.4027,1,2,0.227596,0.190128,0.955014
1783924475.0170019,607,29.4422,1,2,0.228527,0.189638,0.954889
1783924475.07058,608,29.4848,1,2,0.229335,0.189512,0.95472
1783924475.097343,609,29.5267,1,2,0.23023,0.190005,0.954407
1783924475.146684,610,29.5683,1,2,0.23061,0.190703,0.954176
1783924475.182533,611,29.6096,1,2,0.230207,0.191377,0.954138
1783924475.227693,612,29.6514,1,2,0.229916,0.19226,0.954031
1783924475.277097,613,29.6926,1,2,0.229845,0.192328,0.954034
1783924475.3055701,614,29.7346,1,2,0.230582,0.191707,0.953982
1783924475.364137,615,29.7755,1,2,0.231199,0.191667,0.95384
1783924475.390153,616,29.8196,1,2,0.232085,0.191366,0.953686
1783924475.438771,617,29.8613,1,2,0.234224,0.190547,0.953326
1783924475.4716349,618,29.9002,1,2,0.237357,0.189843,0.952692
1783924476.7251,650,31.1533,1,3,-0.213488,-0.052624,0.975528
1783924476.7713652,651,31.1944,1,3,-0.214409,-0.052165,0.97535
1783924476.804616,652,31.2339,1,3,-0.215528,-0.051665,0.97513
1783924476.8640058,653,31.2774,1,3,-0.216001,-0.050909,0.975065
1783924476.890201,654,31.3202,1,3,-0.216153,-0.049559,0.975101
1783924476.943657,655,31.3614,1,3,-0.21614,-0.048258,0.975169
1783924476.973096,656,31.4046,1,3,-0.215763,-0.047533,0.975288
1783924477.0309389,657,31.4436,1,3,-0.215616,-0.047039,0.975345
1783924477.056072,658,31.4875,1,3,-0.215777,-0.047107,0.975306
1783924477.109699,659,31.5276,1,3,-0.209259,-0.107882,0.971891
1783924477.139759,660,31.5693,1,3,-0.184814,-0.094312,0.978238
1783924477.197143,661,31.6103,1,3,-0.18761,-0.091604,0.977963
1783924477.223236,662,31.6512,1,3,-0.192219,-0.077798,0.978263
1783924477.2780108,663,31.6942,1,3,-0.223141,-0.057797,0.973071
1783924477.306636,664,31.7358,1,3,-0.223297,-0.05808,0.973019
1783924477.359901,665,31.7766,1,3,-0.223343,-0.058779,0.972966
1783924477.3903658,666,31.8186,1,3,-0.223744,-0.058929,0.972865
1783924477.4473531,667,31.861,1,3,-0.224411,-0.058291,0.97275
1783924477.472946,668,31.9042,1,3,-0.224346,-0.058907,0.972728
1783924477.527263,669,31.9444,1,3,-0.224934,-0.059038,0.972584
1783924477.557894,670,31.988,1,3,-0.225538,-0.058495,0.972477
1783924477.6051881,671,32.0277,1,3,-0.225873,-0.057137,0.97248
1783924477.642244,672,32.0704,1,3,-0.225383,-0.05598,0.972661
1783924477.695049,673,32.1109,1,3,-0.225169,-0.054618,0.972788
1783924477.726807,674,32.1548,1,3,-0.225314,-0.053539,0.972814
1783924478.653613,699,33.0805,1,4,-0.011906,-0.065952,0.997752
1783924478.699278,700,33.1224,1,4,-0.011653,-0.06642,0.997724
1783924478.744865,701,33.1639,1,4,-0.011104,-0.066749,0.997708
1783924478.7775161,702,33.2054,1,4,-0.009545,-0.067513,0.997673
1783924478.828804,703,33.2472,1,4,-0.008931,-0.067756,0.997662
1783924478.862635,704,33.2905,1,4,-0.008149,-0.068141,0.997643
1783924478.9121761,705,33.3308,1,4,-0.007458,-0.068358,0.997633
1783924478.943499,706,33.3722,1,4,-0.007646,-0.068056,0.997652
1783924479.0026,707,33.414,1,4,-0.00763,-0.067435,0.997695
1783924479.028137,708,33.4558,1,4,-0.006715,-0.068064,0.997658
1783924479.081187,709,33.5,1,4,-0.006299,-0.068679,0.997619
1783924479.110052,710,33.54,1,4,-0.006823,-0.070003,0.997523
1783924479.169677,711,33.5806,1,4,-0.007262,-0.070569,0.997481
1783924479.194874,712,33.6259,1,4,-0.007314,-0.071542,0.997411
1783924479.247726,713,33.6673,1,4,-0.007573,-0.071193,0.997434
1783924479.28083,714,33.7089,1,4,0.022151,-0.119928,0.992535
1783924479.331915,715,33.7496,1,4,0.049709,-0.19612,0.979319
1783924479.3624089,716,33.7919,1,4,0.007471,-0.100127,0.994947
1783924479.419096,717,33.8329,1,4,0.00219,-0.092299,0.995729
1783924479.446097,718,33.8752,1,4,-0.011712,-0.060772,0.998083
1783924479.499768,719,33.9161,1,4,-0.011779,-0.060511,0.998098
1783924479.5289128,720,33.9589,1,4,-0.009903,-0.061433,0.998062
1783924479.5853891,721,34.0003,1,4,-0.006401,-0.064183,0.997918
1783924479.612353,722,34.0426,1,4,-0.004894,-0.065591,0.997835
1783924479.660508,723,34.0832,1,4,-0.004488,-0.066734,0.997761
1783924481.3755322,767,35.8035,1,5,0.20775,-0.078913,0.974994
1783924481.425174,768,35.8452,1,5,0.204649,-0.080221,0.975543
1783924481.461714,769,35.8862,1,5,0.201413,-0.081687,0.976094
1783924481.5074508,770,35.9321,1,5,0.198608,-0.087161,0.976196
1783924481.547498,771,35.9719,1,5,0.199716,-0.094338,0.975302
1783924481.590655,772,36.0137,1,5,0.20203,-0.09677,0.974587
1783924481.628499,773,36.0543,1,5,0.202943,-0.096551,0.974419
1783924481.674004,774,36.0962,1,5,0.203691,-0.09481,0.974434
1783924481.7107651,775,36.1386,1,5,0.205227,-0.092981,0.974288
1783924481.7580411,776,36.1821,1,5,0.209672,-0.083416,0.974207
1783924481.7948952,777,36.2223,1,5,0.20755,-0.08303,0.974694
1783924481.840666,778,36.2658,1,5,0.206368,-0.08382,0.974878
1783924481.877725,779,36.3063,1,5,0.199666,-0.085568,0.976121
1783924481.926346,780,36.3479,1,5,0.189585,-0.09278,0.977471
1783924481.9582112,781,36.3896,1,5,0.183676,-0.099007,0.977988
1783924482.0101252,782,36.4286,1,5,0.185283,-0.099636,0.977621
1783924482.040861,783,36.47,1,5,0.20699,-0.100576,0.97316
1783924482.090389,784,36.5121,1,5,0.210654,-0.100392,0.972392
1783924482.1347342,785,36.5526,1,5,0.213209,-0.102589,0.971606
1783924482.165223,786,36.5955,1,5,0.214252,-0.102797,0.971354
1783924482.2185621,787,36.6361,1,5,0.216214,-0.103119,0.970885
1783924482.250792,788,36.6786,1,5,0.218611,-0.103468,0.970311
1783924482.3018508,789,36.7202,1,5,0.219654,-0.104279,0.969989
1783924482.332125,790,36.7618,1,5,0.219319,-0.10596,0.969882
1783924482.388334,791,36.8024,1,5,0.219188,-0.108566,0.969624
1783924484.5690691,846,39.0001,1,6,-0.217198,-0.295142,0.930439
1783924484.616461,847,39.0404,1,6,-0.218114,-0.294612,0.930392
1783924484.661987,848,39.0809,1,6,-0.218816,-0.295061,0.930085
1783924484.69269,849,39.1239,1,6,-0.218971,-0.295571,0.929887
1783924484.750484,850,39.1642,1,6,-0.219117,-0.296258,0.929634
1783924484.777344,851,39.208,1,6,-0.218858,-0.296996,0.92946
1783924484.832722,852,39.2487,1,6,-0.219049,-0.297833,0.929147
1783924484.860811,853,39.2894,1,6,-0.219758,-0.298347,0.928814
